2025-12-29T07:45:43.003Z -Current meory usage: 26.26 
2025-12-29T07:45:46.010Z -Current meory usage: 26.27 
2025-12-29T07:45:49.013Z -Current meory usage: 26.28 
2025-12-29T07:45:52.022Z -Current meory usage: 26.32 
2025-12-29T07:45:55.025Z -Current meory usage: 26.22 
2025-12-29T07:45:58.031Z -Current meory usage: 26.19 
2025-12-29T07:46:01.038Z -Current meory usage: 26.10 
2025-12-29T07:46:04.045Z -Current meory usage: 26.17 
2025-12-29T07:46:07.055Z -Current meory usage: 26.16 
2025-12-29T07:46:10.073Z -Current meory usage: 26.12 
2025-12-29T07:46:13.073Z -Current meory usage: 26.10 
2025-12-29T07:46:16.086Z -Current meory usage: 26.12 
2025-12-29T07:46:19.093Z -Current meory usage: 25.94 
2025-12-29T07:46:22.098Z -Current meory usage: 25.95 
2025-12-29T07:46:25.112Z -Current meory usage: 25.90 
2025-12-29T07:46:28.121Z -Current meory usage: 26.03 
2025-12-29T07:46:31.133Z -Current meory usage: 25.97 
2025-12-29T07:46:34.145Z -Current meory usage: 26.03 
2025-12-29T07:46:37.145Z -Current meory usage: 25.93 
2025-12-29T07:46:40.154Z -Current meory usage: 25.92 
2025-12-29T07:46:43.157Z -Current meory usage: 25.83 
2025-12-29T07:46:46.169Z -Current meory usage: 25.82 
2025-12-29T07:46:49.171Z -Current meory usage: 25.76 
2025-12-29T07:46:52.185Z -Current meory usage: 25.89 
2025-12-29T07:46:55.186Z -Current meory usage: 26.42 
2025-12-29T07:46:58.201Z -Current meory usage: 26.49 
2025-12-29T07:47:01.208Z -Current meory usage: 26.50 
2025-12-29T07:47:04.219Z -Current meory usage: 26.52 
2025-12-29T07:47:07.230Z -Current meory usage: 26.48 
2025-12-29T07:47:10.241Z -Current meory usage: 26.48 
2025-12-29T07:47:13.241Z -Current meory usage: 26.49 
2025-12-29T07:47:16.255Z -Current meory usage: 26.46 
2025-12-29T07:47:19.270Z -Current meory usage: 26.60 
2025-12-29T07:47:22.275Z -Current meory usage: 26.65 
2025-12-29T07:47:25.275Z -Current meory usage: 26.58 
2025-12-29T07:47:28.285Z -Current meory usage: 26.64 
2025-12-29T07:47:31.295Z -Current meory usage: 26.61 
2025-12-29T07:47:34.307Z -Current meory usage: 26.62 
2025-12-29T07:47:37.310Z -Current meory usage: 26.63 
2025-12-29T07:47:40.318Z -Current meory usage: 26.67 
2025-12-29T07:47:43.319Z -Current meory usage: 26.30 
2025-12-29T07:47:46.322Z -Current meory usage: 26.42 
2025-12-29T07:47:49.325Z -Current meory usage: 26.41 
2025-12-29T07:47:52.340Z -Current meory usage: 26.36 
2025-12-29T07:47:55.343Z -Current meory usage: 26.43 
2025-12-29T07:47:58.355Z -Current meory usage: 26.45 
2025-12-29T07:48:01.366Z -Current meory usage: 26.38 
2025-12-29T07:48:04.376Z -Current meory usage: 26.46 
2025-12-29T07:48:07.386Z -Current meory usage: 26.42 
2025-12-29T07:48:10.395Z -Current meory usage: 26.38 
2025-12-29T07:48:13.400Z -Current meory usage: 26.43 
2025-12-29T07:48:16.401Z -Current meory usage: 26.39 
2025-12-29T07:48:19.404Z -Current meory usage: 26.42 
2025-12-29T07:48:22.412Z -Current meory usage: 26.42 
2025-12-29T07:48:25.423Z -Current meory usage: 26.42 
2025-12-29T07:48:28.424Z -Current meory usage: 26.50 
2025-12-29T07:48:31.429Z -Current meory usage: 26.51 
2025-12-29T07:48:34.436Z -Current meory usage: 26.51 
2025-12-29T07:48:37.448Z -Current meory usage: 26.47 
2025-12-29T07:48:40.453Z -Current meory usage: 26.52 
2025-12-29T07:48:43.467Z -Current meory usage: 26.55 
2025-12-29T07:48:46.473Z -Current meory usage: 26.49 
2025-12-29T07:48:49.485Z -Current meory usage: 26.53 
2025-12-29T07:48:52.492Z -Current meory usage: 26.57 
2025-12-29T07:48:55.500Z -Current meory usage: 26.56 
2025-12-29T07:48:58.508Z -Current meory usage: 26.52 
2025-12-29T07:49:01.519Z -Current meory usage: 26.49 
2025-12-29T07:49:04.530Z -Current meory usage: 26.50 
2025-12-29T07:49:07.536Z -Current meory usage: 26.51 
2025-12-29T07:49:10.543Z -Current meory usage: 26.47 
2025-12-29T07:49:13.552Z -Current meory usage: 26.47 
2025-12-29T07:49:16.559Z -Current meory usage: 26.47 
2025-12-29T07:49:19.571Z -Current meory usage: 26.47 
2025-12-29T07:49:22.577Z -Current meory usage: 26.39 
2025-12-29T07:49:25.586Z -Current meory usage: 26.45 
